modelo;variavel;importancia
XGBoost_Promotor_18 a 30 M;adequação as diversas operações e implementos (csat);0.055994324
XGBoost_Promotor_18 a 30 M;geração e transmissão de dados para gestão agrícola (csat);0.037532352
XGBoost_Promotor_18 a 30 M;adaptabilidade as mais diversas condições de trabalho (csat);0.03568338
XGBoost_Promotor_18 a 30 M;conforto e ergonomia (csat);0.034710083
XGBoost_Promotor_18 a 30 M;geração e transmissão de dados para gestão da frota (csat);0.03403411
XGBoost_Promotor_18 a 30 M;custo de manutenção (csat);0.033880018
XGBoost_Detrator_ 6 a 12 M;adaptabilidade as mais diversas condições de trabalho (csat);0.38936353
XGBoost_Detrator_ 6 a 12 M;disponibilidade e confiabilidade mecânica  (csat);0.3149499
XGBoost_Detrator_ 6 a 12 M;capacidade operacional (hectares por hora) (csat);0.15599523
XGBoost_Detrator_ 6 a 12 M;consumo de combustível (litros por hectares) (csat);0.060346417
XGBoost_Detrator_ 6 a 12 M;custo de manutenção (csat);0.03649847
XGBoost_Detrator_ 6 a 12 M;facilidade de operação (csat);0.02413056
XGBoost_Detrator_ 6 a 12 M;conforto e ergonomia (csat);0.0064093214
XGBoost_Detrator_ 6 a 12 M;geração e transmissão de dados para gestão da frota (csat);0.0063266573
XGBoost_Detrator_ 6 a 12 M;adequação as diversas operações e implementos (csat);0.0051971613
XGBoost_Detrator_ 6 a 12 M;facilidade para realização de manutenções (csat);0.0007827144
XGBoost_Neutro_ 6 a 12 M;capacidade operacional (hectares por hora) (csat);0.29376462
XGBoost_Neutro_ 6 a 12 M;disponibilidade e confiabilidade mecânica  (csat);0.1109129
XGBoost_Neutro_ 6 a 12 M;custo de manutenção (csat);0.10712584
XGBoost_Neutro_ 6 a 12 M;adaptabilidade as mais diversas condições de trabalho (csat);0.0957453
XGBoost_Neutro_ 6 a 12 M;adequação as diversas operações e implementos (csat);0.070219286
XGBoost_Neutro_ 6 a 12 M;geração e transmissão de dados para gestão agrícola (csat);0.06146766
XGBoost_Neutro_ 6 a 12 M;facilidade para realização de manutenções (csat);0.059693
XGBoost_Neutro_ 6 a 12 M;conforto e ergonomia (csat);0.055311307
XGBoost_Neutro_ 6 a 12 M;geração e transmissão de dados para gestão da frota (csat);0.054242004
XGBoost_Neutro_ 6 a 12 M;consumo de combustível (litros por hectares) (csat);0.049107816
XGBoost_Promotor_ 6 a 12 M;capacidade operacional (hectares por hora) (csat);0.43421537
XGBoost_Promotor_ 6 a 12 M;adaptabilidade as mais diversas condições de trabalho (csat);0.13503768
XGBoost_Promotor_ 6 a 12 M;conforto e ergonomia (csat);0.0655175
XGBoost_Promotor_ 6 a 12 M;geração e transmissão de dados para gestão da frota (csat);0.062484246
XGBoost_Promotor_ 6 a 12 M;custo de manutenção (csat);0.055991467
XGBoost_Promotor_ 6 a 12 M;disponibilidade e confiabilidade mecânica  (csat);0.05330532
XGBoost_Promotor_ 6 a 12 M;adequação as diversas operações e implementos (csat);0.049697466
XGBoost_Promotor_ 6 a 12 M;facilidade para realização de manutenções (csat);0.048797134
XGBoost_Promotor_ 6 a 12 M;geração e transmissão de dados para gestão agrícola (csat);0.041694056
XGBoost_Promotor_ 6 a 12 M;consumo de combustível (litros por hectares) (csat);0.029468808
XGBoost_Detrator_ 18 a 30 M;adequação as diversas operações e implementos (csat);0.46328908
XGBoost_Detrator_ 18 a 30 M;disponibilidade e confiabilidade mecânica  (csat);0.21778756
XGBoost_Detrator_ 18 a 30 M;facilidade de operação (csat);0.10854804
XGBoost_Detrator_ 18 a 30 M;capacidade operacional (hectares por hora) (csat);0.06479794
XGBoost_Detrator_ 18 a 30 M;geração e transmissão de dados para gestão da frota (csat);0.03866966
XGBoost_Detrator_ 18 a 30 M;facilidade para realização de manutenções (csat);0.03646098
XGBoost_Detrator_ 18 a 30 M;geração e transmissão de dados para gestão agrícola (csat);0.027029647
XGBoost_Detrator_ 18 a 30 M;custo de manutenção (csat);0.02431645
XGBoost_Detrator_ 18 a 30 M;consumo de combustível (litros por hectares) (csat);0.019100685
XGBoost_Detrator_ 18 a 30 M;conforto e ergonomia (csat);0.0
XGBoost_Neutro_ 18 a 30 M;facilidade de operação (csat);0.3060995
XGBoost_Neutro_ 18 a 30 M;adequação as diversas operações e implementos (csat);0.15724677
XGBoost_Neutro_ 18 a 30 M;adaptabilidade as mais diversas condições de trabalho (csat);0.08404805
XGBoost_Neutro_ 18 a 30 M;capacidade operacional (hectares por hora) (csat);0.073701434
XGBoost_Neutro_ 18 a 30 M;conforto e ergonomia (csat);0.06298254
XGBoost_Neutro_ 18 a 30 M;geração e transmissão de dados para gestão da frota (csat);0.060097545
XGBoost_Neutro_ 18 a 30 M;geração e transmissão de dados para gestão agrícola (csat);0.058977198
XGBoost_Neutro_ 18 a 30 M;custo de manutenção (csat);0.0576383
XGBoost_Neutro_ 18 a 30 M;consumo de combustível (litros por hectares) (csat);0.05036416
XGBoost_Neutro_ 18 a 30 M;facilidade para realização de manutenções (csat);0.046279836
XGBoost_Promotor_ 18 a 30 M;facilidade de operação (csat);0.24249959
XGBoost_Promotor_ 18 a 30 M;disponibilidade e confiabilidade mecânica  (csat);0.177066
XGBoost_Promotor_ 18 a 30 M;adequação as diversas operações e implementos (csat);0.17050351
XGBoost_Promotor_ 18 a 30 M;adaptabilidade as mais diversas condições de trabalho (csat);0.08437172
XGBoost_Promotor_ 18 a 30 M;capacidade operacional (hectares por hora) (csat);0.06804279
XGBoost_Promotor_ 18 a 30 M;geração e transmissão de dados para gestão da frota (csat);0.054593377
XGBoost_Promotor_ 18 a 30 M;facilidade para realização de manutenções (csat);0.04590594
XGBoost_Promotor_ 18 a 30 M;conforto e ergonomia (csat);0.043165427
XGBoost_Promotor_ 18 a 30 M;geração e transmissão de dados para gestão agrícola (csat);0.042427663
XGBoost_Promotor_ 18 a 30 M;consumo de combustível (litros por hectares) (csat);0.039770957
XGBoost_Detrator_ 12 a 18 M;capacidade operacional (hectares por hora) (csat);0.0
XGBoost_Detrator_ 12 a 18 M;adequação as diversas operações e implementos (csat);0.0
XGBoost_Detrator_ 12 a 18 M;facilidade de operação (csat);0.0
XGBoost_Detrator_ 12 a 18 M;conforto e ergonomia (csat);0.0
XGBoost_Detrator_ 12 a 18 M;disponibilidade e confiabilidade mecânica  (csat);0.0
XGBoost_Detrator_ 12 a 18 M;facilidade para realização de manutenções (csat);0.0
XGBoost_Detrator_ 12 a 18 M;custo de manutenção (csat);0.0
XGBoost_Detrator_ 12 a 18 M;consumo de combustível (litros por hectares) (csat);0.0
XGBoost_Detrator_ 12 a 18 M;adaptabilidade as mais diversas condições de trabalho (csat);0.0
XGBoost_Detrator_ 12 a 18 M;geração e transmissão de dados para gestão da frota (csat);0.0
XGBoost_Neutro_ 12 a 18 M;capacidade operacional (hectares por hora) (csat);0.0
XGBoost_Neutro_ 12 a 18 M;adequação as diversas operações e implementos (csat);0.0
XGBoost_Neutro_ 12 a 18 M;facilidade de operação (csat);0.0
XGBoost_Neutro_ 12 a 18 M;conforto e ergonomia (csat);0.0
XGBoost_Neutro_ 12 a 18 M;disponibilidade e confiabilidade mecânica  (csat);0.0
XGBoost_Neutro_ 12 a 18 M;facilidade para realização de manutenções (csat);0.0
XGBoost_Neutro_ 12 a 18 M;custo de manutenção (csat);0.0
XGBoost_Neutro_ 12 a 18 M;consumo de combustível (litros por hectares) (csat);0.0
XGBoost_Neutro_ 12 a 18 M;adaptabilidade as mais diversas condições de trabalho (csat);0.0
XGBoost_Neutro_ 12 a 18 M;geração e transmissão de dados para gestão da frota (csat);0.0
XGBoost_Promotor_ 12 a 18 M;capacidade operacional (hectares por hora) (csat);0.0
XGBoost_Promotor_ 12 a 18 M;adequação as diversas operações e implementos (csat);0.0
XGBoost_Promotor_ 12 a 18 M;facilidade de operação (csat);0.0
XGBoost_Promotor_ 12 a 18 M;conforto e ergonomia (csat);0.0
XGBoost_Promotor_ 12 a 18 M;disponibilidade e confiabilidade mecânica  (csat);0.0
XGBoost_Promotor_ 12 a 18 M;facilidade para realização de manutenções (csat);0.0
XGBoost_Promotor_ 12 a 18 M;custo de manutenção (csat);0.0
XGBoost_Promotor_ 12 a 18 M;consumo de combustível (litros por hectares) (csat);0.0
XGBoost_Promotor_ 12 a 18 M;adaptabilidade as mais diversas condições de trabalho (csat);0.0
XGBoost_Promotor_ 12 a 18 M;geração e transmissão de dados para gestão da frota (csat);0.0
XGBoost_Detrator_ 3 a 6 M;adequação as diversas operações e implementos (csat);0.19881865
XGBoost_Detrator_ 3 a 6 M;disponibilidade e confiabilidade mecânica  (csat);0.19438243
XGBoost_Detrator_ 3 a 6 M;facilidade para realização de manutenções (csat);0.18678491
XGBoost_Detrator_ 3 a 6 M;conforto e ergonomia (csat);0.16563338
XGBoost_Detrator_ 3 a 6 M;custo de manutenção (csat);0.12967373
XGBoost_Detrator_ 3 a 6 M;facilidade de operação (csat);0.124706954
XGBoost_Detrator_ 3 a 6 M;capacidade operacional (hectares por hora) (csat);0.0
XGBoost_Detrator_ 3 a 6 M;consumo de combustível (litros por hectares) (csat);0.0
XGBoost_Detrator_ 3 a 6 M;adaptabilidade as mais diversas condições de trabalho (csat);0.0
XGBoost_Detrator_ 3 a 6 M;geração e transmissão de dados para gestão da frota (csat);0.0
XGBoost_Neutro_ 3 a 6 M;consumo de combustível (litros por hectares) (csat);0.38094768
XGBoost_Neutro_ 3 a 6 M;adequação as diversas operações e implementos (csat);0.19005702
XGBoost_Neutro_ 3 a 6 M;adaptabilidade as mais diversas condições de trabalho (csat);0.118832424
