modelo;variavel;importancia
XGBoost_Promotor_Nordeste;capacidade operacional (hectares por hora) (csat);0.11943275
XGBoost_Promotor_Nordeste;facilidade para realização de manutenções (csat);0.08393414
XGBoost_Promotor_Nordeste;consumo de combustível (litros por hectares) (csat);0.06348086
XGBoost_Promotor_Nordeste;geração e transmissão de dados para gestão agrícola (csat);0.055198405
XGBoost_Promotor_Nordeste;facilidade de operação (csat);0.053655107
XGBoost_Promotor_Nordeste;conforto e ergonomia (csat);0.05266415
XGBoost_Promotor_Nordeste;geração e transmissão de dados para gestão da frota (csat);0.043701127
XGBoost_Detrator_Centro-Oeste;facilidade de operação (csat);0.4102984
XGBoost_Detrator_Centro-Oeste;capacidade operacional (hectares por hora) (csat);0.10545794
XGBoost_Detrator_Centro-Oeste;disponibilidade e confiabilidade mecânica  (csat);0.101418644
XGBoost_Detrator_Centro-Oeste;facilidade para realização de manutenções (csat);0.08054636
XGBoost_Detrator_Centro-Oeste;adequação as diversas operações e implementos (csat);0.053438347
XGBoost_Detrator_Centro-Oeste;adaptabilidade as mais diversas condições de trabalho (csat);0.05132365
XGBoost_Detrator_Centro-Oeste;custo de manutenção (csat);0.05122556
XGBoost_Detrator_Centro-Oeste;conforto e ergonomia (csat);0.040291827
XGBoost_Detrator_Centro-Oeste;geração e transmissão de dados para gestão da frota (csat);0.040191654
XGBoost_Detrator_Centro-Oeste;consumo de combustível (litros por hectares) (csat);0.033283718
XGBoost_Neutro_Centro-Oeste;facilidade de operação (csat);0.17384501
XGBoost_Neutro_Centro-Oeste;facilidade para realização de manutenções (csat);0.14842099
XGBoost_Neutro_Centro-Oeste;capacidade operacional (hectares por hora) (csat);0.12682703
XGBoost_Neutro_Centro-Oeste;adequação as diversas operações e implementos (csat);0.08440268
XGBoost_Neutro_Centro-Oeste;disponibilidade e confiabilidade mecânica  (csat);0.08376681
XGBoost_Neutro_Centro-Oeste;custo de manutenção (csat);0.06896337
XGBoost_Neutro_Centro-Oeste;adaptabilidade as mais diversas condições de trabalho (csat);0.067920044
XGBoost_Neutro_Centro-Oeste;geração e transmissão de dados para gestão da frota (csat);0.06500013
XGBoost_Neutro_Centro-Oeste;geração e transmissão de dados para gestão agrícola (csat);0.06378174
XGBoost_Neutro_Centro-Oeste;consumo de combustível (litros por hectares) (csat);0.060397636
XGBoost_Promotor_Centro-Oeste;facilidade de operação (csat);0.36654565
XGBoost_Promotor_Centro-Oeste;facilidade para realização de manutenções (csat);0.13068879
XGBoost_Promotor_Centro-Oeste;capacidade operacional (hectares por hora) (csat);0.10098825
XGBoost_Promotor_Centro-Oeste;disponibilidade e confiabilidade mecânica  (csat);0.065799326
XGBoost_Promotor_Centro-Oeste;adaptabilidade as mais diversas condições de trabalho (csat);0.060189325
XGBoost_Promotor_Centro-Oeste;geração e transmissão de dados para gestão da frota (csat);0.052826665
XGBoost_Promotor_Centro-Oeste;custo de manutenção (csat);0.047847774
XGBoost_Promotor_Centro-Oeste;adequação as diversas operações e implementos (csat);0.047736123
XGBoost_Promotor_Centro-Oeste;consumo de combustível (litros por hectares) (csat);0.045888774
XGBoost_Promotor_Centro-Oeste;geração e transmissão de dados para gestão agrícola (csat);0.04405113
XGBoost_Detrator_Norte;disponibilidade e confiabilidade mecânica  (csat);0.17705543
XGBoost_Detrator_Norte;custo de manutenção (csat);0.16901493
XGBoost_Detrator_Norte;facilidade para realização de manutenções (csat);0.16516133
XGBoost_Detrator_Norte;facilidade de operação (csat);0.14975196
XGBoost_Detrator_Norte;capacidade operacional (hectares por hora) (csat);0.10252922
XGBoost_Detrator_Norte;geração e transmissão de dados para gestão da frota (csat);0.055067036
XGBoost_Detrator_Norte;conforto e ergonomia (csat);0.042977788
XGBoost_Detrator_Norte;adequação as diversas operações e implementos (csat);0.039028216
XGBoost_Detrator_Norte;adaptabilidade as mais diversas condições de trabalho (csat);0.037817683
XGBoost_Detrator_Norte;consumo de combustível (litros por hectares) (csat);0.03494942
