C0I;RUA FRANCISCO DE PAULA -  125 - CENTRO;PR;M.PR.C0I;CAMPO MAGRO - FRANCISCO DE PAULA;;;
C0H;RUA ANTÔNIO BOSA -  841 - CAMPO MAGRO;PR;M.PR.C0H;CAMPO MAGRO - ANTÔNIO BOSSA;;;
BXE;Rod. Pedreira x Rua Dalazuana A. Frasão -  s/nº;PR;M.PR.BXE;Colombo Rio Verde;;;
BPL;R ALFREDO PUPPI -  AO LADO DO N° 191 - N° S/N;PR;M.PR.BPL;Colombo Palmital;;;
BRU;Rodovia da Uva - PR 417 Nº S/n (ao ld 4580) - COLOMBO;PR;M.PR.BRU;COLOMBO - RODOVIA DA UVA;;;
BSD;Rua Aurora Budel Alberti -  S/N;PR;M.PR.BSD;COLOMBO - SÃO DIMAS;;;
BSG;RUA FRANCISCO SOPPA - 104;PR;M.PR.BSG;COLOMBO - SÃO GABRIEL ;;;
BXC;RODOVIA BR 116 -  km 87 - Nº S/N;PR;M.PR.BXC;COLOMBO - CANGUIRI (REMANEJ. BXB);;;
BXM;RUA PRESIDENTE JUSCELINO KUBITSCHEK - 200;PR;M.PR.BXM;COLOMBO SANTA MÔNICA;;;
CBX;RUA ANTONIO PRADO - 9;PR;M.PR.CBX;Colombo Centro;;;
CXR;ROD BR 476 N 497 - COLOMBO;PR;M.PR.CXR;COLOMBO JARDIM CRISTINA;;;
BXV;AVENIDA ABEL SCUSSIATO -  S/N;PR;M.PR.BXV;Colombo Vila Atuba;;;
BXJ;RUA JOAQUIM ROCHA -  AO LADO DO 775;PR;M.PR.BXJ;Colombo Joaquim Rocha;X;;
BXS;RUA MANOEL DA SILVA ROSA - 138;PR;M.PR.BXS;Colombo V. Sta Maria;;;
BUA;RUA JAGUARIAÍVA - 348;PR;M.PR.BUA;COLOMBO - GUARAITUBA;;;
BXH;RUA BELO HORIZONTE  -  S/N;PR;M.PR.BXH;COLOMBO - VILA SANTA HELENA;;;
BPS;RUA DORVAL CECCON - 664;PR;M.PR.BPS;COLOMBO - PARK SHOPPING;;;
C0O;RUA DOS JASMINS -  585 - SAO DIMAS;PR;M.PR.C0O;COLOMBO - PARQUE MONTE CASTELO;;;
C0S;ESTRADA DA GRACIOSA -  2687 - CANGUIRI;PR;M.PR.C0S;COLOMBO - ALPHAVILLE GRACIOSA;;;
C0Q;RUA SANTO ESTEVAO -  183 - CAMPO PEQUENO;PR;M.PR.C0Q;COLOMBO - VILA SÃO LUCAS;;;
C0R;RUA PRIMEIRO DE JANEIRO -  602 - CANGUIRI;PR;M.PR.C0R;COLOMBO - JARDIM PALMARES;;;
C0P;RODOVIA DA UVA -  S/N - EMBU;PR;M.PR.C0P;COLOMBO - PARQUE DO EMBU;;;
C0N;RUA FRANCISCO CAMARGO -  S/N - CENTRO;PR;M.PR.C0N;COLOMBO - FRANCISCO CAMARGO;;;
BDA;RUA DA GABIROBEIRA -  º 115;PR;M.PR.BDA;COLOMBO - DAS GRAÇAS;NÃO;;
BAR;RUA KELVIN - VILA GUARANY - COLOMBO - PR - S/N - AO LADO DO 1045 - - COLOMBO;PR;M.PR.BAR;COLOMBO - GUARANI;;;
CAK;AVENIDA GOVERNADOR MOISÉS LUPION -  AO LADO DO 680;PR;M.PR.CAK;Contenda;;;
ZCO;BR 476 Km 45. - CONTENDA;PR;M.PR.ZCO;Contenda REP;;;
C0T;ESTRADA COLONIAL JARDIM ANA MARIA CORDEIRO -  S/N - JARDIM ANA FRANCO CORDEIRO;PR;M.PR.C0T;CONTENDA - JARDIM ANA FRANCO CORDEIRO;;;
CTA;Pedro Gusso - 711;PR;M.PR.CTA;CCC Pedro Gusso;X;;
KBI;RUA NUNES MACHADO - 1169;PR;M.PR.KBI;Curitiba Brasílio Itiberê;;;
KCG;RUA PEDRO IVO - 298;PR;M.PR.KCG;Curitiba Pça.Carlos Gomes;;;
KCS;R ARISTIDES FERREIRA DE ANDRADE - Nº 161 - CURITIBA;PR;M.PR.KCS;Curitiba Cascatinha;;;
KIM;RUA MATEUS LEME - 358;PR;M.PR.KIM;Curitiba Ibis Muller;;;
