K3N;RUA ALDA BASSETI BERTHOLDI 1216 - CAMPO DE SANTANA - CURITIBA - CURITIBA;PR;M.PR.K3N;CURITIBA - CAMPO DE SANTANA 3;;;
KT5;RUA ANTÔNIO SAROTE -  181 - CURITIBA;PR;M.PR.KT5;CURITIBA - TATUQUARA 5;;;
KIC;RUA HERECE FERNANDES Nº PREDIAL 543 - CURITIBA - CURITIBA;PR;M.PR.KIC;CURITIBA - CIDADE INDUSTRIAL;;;
K4V;AVENIDA MARECHAL FLORIANO PEIXOTO -  4880 - CENTRO;PR;M.PR.K4V;CURITIBA - SHOPPING CIDADE INDOOR;;;
KLQ;RUA CAPITÃO LEONIDAS MARQUES - 565;PR;M.PR.KLQ;CURITIBA - CAPITÃO LEÔNIDAS MARQUES;;;
KU6;RUA ÂNGELO GAI -  N°832;PR;M.PR.KU6;CURITIBA - UMBARA 6;;;
KWK;RUA WALDEMAR KOST 1087 - CURITIBA;PR;M.PR.KWK;CURITIBA - WALDEMAR KOST;;;
KRI;R. PROF. PEDRO VIRIATO PARIGOT DE SOUZA - 600;PR;M.PR.KRI;CURITIBA - SHOPPING BARIGUI INDOOR;;;
KE2;RUA GENERAL ARY DUARTE NUNES 169 -  UBERABA;PR;M.PR.KE2;CURITIBA - ELECTROLUX 2;;;
KEN;AVENIDA COMENDADOR FRANCO -  5507 JARDIM DAS AMÉRICAS;PR;M.PR.KEN;CURITIBA - COMENDADOR FRANCO 2;;;
KEX;RUA LOURIVAL SCHILIPAK -  Nº 67;PR;M.PR.KEX;CURITIBA - ELECTROLUX;;;
KCZ;RUA CARLOS DIETZSCH 1298 PORTÃO - PORTÃO - CURITIBA;PR;M.PR.KCZ;CURITIBA - CARLOS DIETZSCH;;;
KU7; - CURITIBA;PR;M.PR.KU7;CURITIBA - UMBARA 7;;;
KIA; - CURITIBA;PR;M.PR.KIA;CURITIBA - SANTO INACIO 2;;;
CBR;Rua Anita Garibaldi -  523 - JUVEVÊ;PR;M.PR.CBR;CCC Cabral;X;;
FID;Rua Francisco Ferreira da Cruz - Nº 3770 - FAZENDA RIO GRANDE;PR;M.PR.FID;FAZENDA RIO GRANDE – INDUSTRIAL;;;
HFZ;RUA FRANCA -  S/N;PR;M.PR.HFZ;Fazenda Rio Grande;;;
FAZ;Rua Portugal - Nº 1496 - FAZENDA RIO GRANDE;PR;M.PR.FAZ;FAZENDA RIO GRANDE – GRALHA AZUL;;;
HES;RUA SÃO VITO -  LOTES 35 E 36;PR;M.PR.HES;FAZENDA RIO GRANDE- ESTADOS;NÃO;;
HFI;RUA RIO OIAPOQUE - Nº S/N - FAZENDA RIO GRANDE;PR;M.PR.HFI;FAZENDA RIO GRANDE - IGUAÇU;;;
F0A;RUA ABÍLIO JULIANO - 333;PR;M.PR.F0A;FAZENDA RIO GRANDE - ALBINO JULIANO;;;
F0B;AVENIDA BRASIL -  3102 - NAÇÕES;PR;M.PR.F0B;FAZENDA RIO GRANDE - PAQUISTÃO;;;
FEU;TRAVESSA TAMBORIL -  Nº 81 - EUCALIPTOS;PR;M.PR.FEU;FAZENDA RIO GRANDE - EUCALIPTOS;;;
FNV;RUA A (RUA LUIS BONATO) -  S/N - JARDIM VENEZA;PR;M.PR.FNV;FAZENDA RIO GRANDE - VENEZA;;;
GQB;RUA MAJOR NASCIMENTO -  S/N;PR;M.PR.GQB;Guaraqueçaba;;;
XAS;RODOVIA BR 376 -  KM 685;PR;M.PR.XAS;Alto da Serra;;;
XOD;RODOVIA BR 376 -  KM 695;PR;M.PR.XOD;Oleoduto;;;
FUM;Rua Francisco Artega com Rua Paulo Saposki - GUARATUBA;PR;M.PR.FUM;Guaratuba Fórum;;;
GCD;R PORTUGAL - Nº S/N - GUARATUBA;PR;M.PR.GCD;Guaratuba Candeias;;;
RUB;RUA COSTA RICA -  LOTE 15 QUADRA 9;PR;M.PR.RUB;Guaratuba - Brejatuba;;;
RUF;RUA SATURNINO DAS NEVES S/N - GUARATUBA;PR;M.PR.RUF;Guaratuba - Ferry Boat;;;
XPI;RODOVIA BR 376 -  KM 689;PR;M.PR.XPI;Pontal do Itararé;;;
GRU;RUA MUGIATO SOBRINHO -  S/N;PR;M.PR.GRU;Guaratuba Centro;;;
RUR;AVENIDA RIO BRANCO -  S/N;PR;M.PR.RUR;Guaratuba Rio Branco;;;
ZMP;BR 376 -  KM 665 - Matulão;PR;M.PR.ZMP;Morro dos Perdidos;;;
ZSA;BR 376 -  KM 667 - Pedra Branca de Araraquara;PR;M.PR.ZSA;Serra de Araçatuba;;;
GPC;RUA NOSSA SENHORA DO ROCIO - 46;PR;M.PR.GPC;GUARATUBA - PRAIA CENTRAL;;;
GAO;AVENIDA CURITIBA - 1022;PR;M.PR.GAO;GUARATUBA - AEROPORTO;;;
G0H;AVENIDA MANAUS -  6 - BALNEARIO NEREIDAS;PR;M.PR.G0H;GUARATUBA - SAMBAQUI;;;
G0I;RUA MARECHAL DEODORO -  S/N - CENTRO;PR;M.PR.G0I;GUARATUBA - MARECHAL DEODORO;;;
G0J;RODOVIA BR-376 -  S/N - PEDRA BRANCA DE ARARAQUARA;PR;M.PR.G0J;GUARATUBA - RODOVIA BR-376;;;
XAB;RODOVIA BR-376 -  KM 682;PR;M.PR.XAB;GUARATUBA - PEDRA BRANCA DO ARARAQUARA;NÃO;;
IPR;Rua 4 esquina com Rua 8 - ITAPERUÇU;PR;M.PR.IPR;Itaperuçu;;;
LPA;RUA ERNESTO DE OLIVEIRA -  AO LADO DO 72;PR;M.PR.LPA;Lapa Cidade;;;
ZLP;Avv. Getúlio Vargas -  KM 2;PR;M.PR.ZLP;LAPA REP TX;;;
L0B;RUA PROFESSOR CARLOS WEIL -  S/N;PR;M.PR.L0B;LAPA - PROFESSOR CARLOS WEIL;NÃO;;
MDT;AVENIDA PARANÁ - 437;PR;M.PR.MDT;Mandirituba;;;
M0D;RUA FRANCISCO DE ASSIS PEREIRA MAGALHÃES -  605-563 - AREIA BRANCA DOS ASSIS;PR;M.PR.M0D;MANDIRITUBA - AREIA BRANCA DOS ASSIS;;;
M0B;RUA PROFESSORA WILMA C BARBOSA -  92 - CENTRO;PR;M.PR.M0B;MANDIRITUBA - JOÃO BARBOSA MENDES;;;
M0C;RODOVIA BR-116 -  S/N - CENTRO;PR;M.PR.M0C;MANDIRITUBA - RODOVIA BR 277;;;
MAC;RODOVIA PR 508 -  KM 19;PR;M.PR.MAC;Morretes Aguas Claras;;;
MBG;RUA MILTON VIANA -  S/N;PR;M.PR.MBG;Balneário Costa Azul;;;
MBO;RUA BANDEIRANTES - Nº 390 - MATINHOS;PR;M.PR.MBO;Matinhos Bom Retiro;;;
MOS;RUA 19 DE DEZEMBRO -  S/N;PR;M.PR.MOS;Matinhos Centro;;;
MPG;R PARANAGUÁ - N° S/N - MATINHOS;PR;M.PR.MPG;MATINHOS - PRAIA GRANDE;;;
MSY;RODOVIA PR 407 -  PRÓXIMO AO 336;PR;M.PR.MSY;Matinhos  Solimar;;;
OBS;RUA BANDEIRANTES - 521;PR;M.PR.OBS;Caiobá SESC;;;
IO2;RUA ASSIS CHATEAUBRIAND - 230;PR;M.PR.IO2;MATINHOS - CAIOBÁ 2;;;
MPA; Av Maringá - Nº 250 - MATINHOS;PR;M.PR.MPA;MATINHOS - AVENIDA PARANÁ ;;;
MSZ;RUA SIQUEIRA CAMPOS -   S/N - LOTE 20;PR;M.PR.MSZ;MATINHOS - SERTAOZINHO;339;NÃO;
MPB;"RUA ERMÍNDIO FREIRE; 295 - CAIOBÁ - MATINHOS";PR;M.PR.MPB;MATINHOS - PRAIA BRAVA DE CAIOBÁ;;;
CAR;RODOVIA BR 277 -  KM 36;PR;M.PR.CAR;Morretes Carambiu;;;
MES;RUA 31 DE OUTUBRO -  AO LADO DO 10;PR;M.PR.MES;Morretes Centro;;;
TMO;RODOVIA BR 277 -  KM 30;PR;M.PR.TMO;Trevo Morretes;;;
ZMT;BR 277 - km 24 -  S/N (Bairro Wartha);PR;M.PR.ZMT;MORRETES REP TX;;;
M0F;RODOVIA BR-277 -  S/N - CENTRO;PR;M.PR.M0F;MORRETES - RODOVIA BR 277;;;
ALE;ACESSO PELA COLONIA ALEXANDRA - PARANAGUÁ;PR;M.PR.ALE;Paranaguá Alexandra;;;
MML;RODOVIA PR 508 -  KM 9 LOTE 46;PR;M.PR.MML;Paranaguá Maria Luiza;;;
NCH;Rua Visconde de Nácar - 988;PR;M.PR.NCH;Paranaguá Centro Histórico;;;
NGB;RUA MANOEL HERMOGENES VIDAL -  S/N;PR;M.PR.NGB;Paranaguá Bento Rocha;;;
NGG;R GERMANO CRISPIM DE OLIVEIRA - Nº S/N - PARANAGUÁ;PR;M.PR.NGG;PARANAGUÁ GUARAITUBA;;;
PRQ;RODOVIA PR 407 -  KM 9;PR;M.PR.PRQ;PR-407;;;
NP2;Rua Manoel Pereira - Nº 642 - PARANAGUÁ;PR;M.PR.NP2;PARANAGUÁ PORTO 2;;;
PNG;RUA ARTUR DE SOUZA COSTA -  S/N;PR;M.PR.PNG;Paranaguá Raia;;;
PGA;RUA SUBTENENTE ONOFRE MOREIRA DA ROCHA -  S/N;PR;M.PR.PGA;PARANAGUÁ - VILA GARCIA;;;
PAP;AVENIDA AYRTON SENNA DA SILVA - 2800;PR;M.PR.PAP;PARANAGUÁ - AEROPORTO;;;
NPU;RUA JOSÉ VICENTE ELIAS(EM FRENTE AO Nº 933) -  ESQUINA RUA ANTONIO VENÂNCIO;PR;M.PR.NPU;PARANAGUÁ - PONTA DO CAJU;;;
P0A;RUA NESTOR VÍCTOR - 1155;PR;M.PR.P0A;PARANAGUÁ - GABRIEL DE LARA;;;
P0C;RODOVIA PR-407 -  S/N - CENTRO;PR;M.PR.P0C;PARANAGUÁ - RODOVIA PR 407;;;
P0D;RODOVIA PR-508 -  2 - CENTRO;PR;M.PR.P0D;PARANAGUÁ - RODOVIA PR 508;;;
P0B;RODOVIA BR-277 -  S/N;PR;M.PR.P0B;PARANAGUÁ - RODOVIA BR 277;;;
P0F;RUA JÚLIA DA COSTA -  650 - TUIUTI;PR;M.PR.P0F;PARANAGUÁ - CENTRO HISTORICO 2;;;
P0E;RUA PROFESSOR CLETO -  2200 - INDUSTRIAL;PR;M.PR.P0E;PARANAGUÁ - PROFESSOR CLETO;;;
PAO;AVENIDA BENTO MUNHOZ DA ROCHA -  3121 - PARQUE SAO JOAO;PR;M.PR.PAO;PARANAGUÁ - PARQUE SÃO JOÃO;;;
PJR;RUA OSNY JOSÉ MIRANDA -  306 JARDIM PARANAGUÁ;PR;M.PR.PJR;PARANAGUÁ - JARDIM PARANAGUÁ;;;
PVS;RUA PADRE ADELIR ANTÔNIO DE CARLI -  180 - JARDIM IGUAÇU;PR;M.PR.PVS;PARANAGUÁ - VILA SANTA HELENA;;;
PYE;LOTE 11 QUADRA 19 - PIEN;PR;M.PR.PYE;Piên;;;
NAV;Estrada Ecológica de Pinhais - Nº 6339 - PINHAIS;PR;M.PR.NAV;Pinhais Alphaville;;;
NIU;RUA URAÍ X RUA APUCARANA - PINHAIS;PR;M.PR.NIU;Pinhais Jd Guairacá;;;
NCP;Av. Camilo de Lelis - Nº 879 - PINHAIS;PR;M.PR.NCP;PINHAIS COLONIA PINHAIS;;;
NIW;RUA RIO TIETE X RUA SÃO LUIZ - PINHAIS;PR;M.PR.NIW;Pinhais Weissópolis;;;
PLB;RUA LÍBIA -  S/N;PR;M.PR.PLB;Vila Palmital;;;
NAT;AVENIDA JACOB MACANHAN - 3836;PR;M.PR.NAT;PINHAIS - ATUBA;;;
NJA;R TERRA BOA - N° 194 - PINHAIS;PR;M.PR.NJA;PINHAIS - LEOPOLDO JACOMEL;;;
P0G;RUA TERRA BOA - 218;PR;M.PR.P0G;PINHAIS - TERRA BOA;;;
P0H;RUA GRAÇA ARANHA -  1235 - VARGEM GRANDE;PR;M.PR.P0H;PINHAIS - GRACA ARANHA;;;
NMA;RUA CELIO JOSE PIVOVA 48 - LOTE Nº 27 -  QUADRA F - MARIA ANTONIETA;PR;M.PR.NMA;PINHAIS - MARIA ANTONIETA;;;
PQA;RUA BARÃO DO CERRO AZUL - 588;PR;M.PR.PQA;Piraquara;;;
QAP;RODOVIA JOÃO LEOPOLDO JACOMEL - 162;PR;M.PR.QAP;Pqa. Jd. Primavera;;;
QAE;RUA GERHARD VONSCHEIDT -  S/N;PR;M.PR.QAE;PIRAQUARA - AERÓDROMO;;;
P0J;RUA SALGUEIRO -  125 - JARDIM PRIMAVERA;PR;M.PR.P0J;PIRAQUARA - JOAO SIMBALISTA;;;
QPD;RUA JOÃO LEMOS -  S/N - CENTRO;PR;M.PR.QPD;PIRAQUARA - PLANTA DEODORO;;;
QJG;RUA GERHARD SCHROEDER -  S/Nº;PR;M.PR.QJG;PIRAQUARA - JARDIM GUARANI;;;
QJS;RUA RODRIGO WANDEMBRUCK -  LOTE 100 - JARDIM SANTA HELENA;PR;M.PR.QJS;PIRAQUARA - JARDIM SANTA HELENA;;;
BAT;RUA NICARAGUÁ -  S/N;PR;M.PR.BAT;Pontal do Paraná - Balneário Atami  ;;;
BST;RUA FERNANDO AMARO -  S/N;PR;M.PR.BST;Pontal do Paraná - Balneário Santa Terezinha;;;
PLP;AVENIDA ATLANTICA -  S/N;PR;M.PR.PLP;Pontal do Sul;;;
PRL;RODOVIA PR 407 -  S/N;PR;M.PR.PRL;Praia de Leste;;;
SHG;RODOVIA PR 412 -  LOTE 8 QUADRA 3;PR;M.PR.SHG;Shangri-lá Centro;;;
SH2;AVENIDA NEPTUNO - 490;PR;M.PR.SH2;PONTAL DO PARANÁ – SHANGRILÁ 2;;;
MBM;RUA ARCO ÍRIS - 326;PR;M.PR.MBM;MATINHOS -  BALNEÁRIO MONÇÕES;;;
P0U;AVENIDA BEIRA MAR -  S/N - CENTRO;PR;M.PR.P0U;PONTAL DO PARANÁ - BEIRA MAR;;;
PIJ;AVENIDA PIRAJÁ 64 IPANEMA - PONTAL DO PARANÁ;PR;M.PR.PIJ;PONTAL DO PARANÁ - IPANEMA;;;
BDC;ESTRADA BAITACA -  S/N;PR;M.PR.BDC;Borda do Campo;;;
QBS;RUA ELVIRA HAMANN -  S/N;PR;M.PR.QBS;Quatro Barras;;;
XPT;RODOVIA BR 116 -  KM 70;PR;M.PR.XPT;Posto Túlio;;;
Q0A;RUA NILO FAVARO -  117 - CENTRO;PR;M.PR.Q0A;QUATRO BARRAS - SÃO SEBASTIÃO;;;
QDN;RUA ALVES DA ROCHA -  S/N;PR;M.PR.QDN;Quitandinha;;;
Q0B;BR-116 -  S/N - PANGARÉ;PR;M.PR.Q0B;QUITANDINHA - RODOVIA BR-116;;;
RBL;RUA CAROLINA BEATRIZ ZEM DE CRISTO -  AO LADO DO 236;PR;M.PR.RBL;Rio Branco do Sul;;;
R0B;ESTRADA DO MOSSUNGUE -  916 - ITAPERUÇU;PR;M.PR.R0B;RIO BRANCO DO SUL - SANTOS DUMONT;;;
YBD;RUA MANOEL BENTO MARQUES - Nº 1562 - SÃO JOSÉ DOS PINHAIS;PR;M.PR.YBD;SÃO JOSÉ DOS PINHAIS - BORDA DO CAMPO;;;
YGT;RUA HERMINDA DA ROCHA BARBOSA - Nº S/N - SÃO JOSÉ DOS PINHAIS;PR;M.PR.YGT;SÃO JOSÉ DOS PINHAIS - GUATUPÊ;;;
YRO;Av. Renault - Nº S/N - SÃO JOSÉ DOS PINHAIS;PR;M.PR.YRO;SÃO JOSÉ DOS PINHAIS ROSEIRA;;;
YSA;RUA SILVIO DAL NEGRO  N° 190 - SÃO JOSÉ DOS PINHAIS;PR;M.PR.YSA;SÃO JOSÉ DOS PINHAIS - SANTO ANTÔNIO;;;
Y01;RUA ZACARIAS ALVES PEREIRA - 381;PR;M.PR.Y01;SJP Aristocrata;;;
Y02;RUA RAFAEL PUCHETTI -  S/N;PR;M.PR.Y02;São José dos Pinhais Braga;;;
YAP;AVENIDA ROCHA POMBO -  S/N AFONSO PENA;PR;M.PR.YAP;São José dos Pinhais Aeroporto;;;
YPM;RUA PAULINO SIQUEIRA CORTES - 2600;PR;M.PR.YPM;São José dos Pinhais Pedro Moro;;;
YPR;RODOVIA BR 376 -  KM 653;PR;M.PR.YPR;Polícia Rodoviária;;;
YSH;RUA ISABELA REDENTORA - Nº 1434 - SÃO JOSÉ DOS PINHAIS;PR;M.PR.YSH;SHOPPING SÃO JOSÉ DOS PINHAIS;;;
YA2;AV. Marginal Norte - Nº S/N - SÃO JOSÉ DOS PINHAIS;PR;M.PR.YA2;SÃO JOSÉ DOS PINHAIS - AUDI 2;;;
YAD;RODOVIA BR 376 -  KM 646;PR;M.PR.YAD;São José dos Pinhais  Audi;;;
YC2;Rua Visconde do Rio Branco - Nº 1839 - SÃO JOSÉ DOS PINHAIS;PR;M.PR.YC2;SÃO JOSÉ DOS PINHAIS CENTRO 2;;;
YCS;Alameda ARPO - 3200;PR;M.PR.YCS;SÃO JOSÉ DOS PINHAIS - COSTEIRA;;;
YDR;Rua Batistin Pauletto - 848;PR;M.PR.YDR;SÃO JOSÉ DOS PINHAIS - DEL REY;;;
YJI;AV DEPUTADO JOÃO LEOPOLDO JACOMEL - N° 290 - SÃO JOSÉ DOS PINHAIS;PR;M.PR.YJI;São José dos Pinhais Jardim Itália;;;
YKR;CONTORNO SUL -  POSTO TÚLIO (ESSO) - Nº S/N;PR;M.PR.YKR;SÃO JOSÉ DOS PINHAIS KRICHAK;;;
YMG;RUA JOSÉ TREVISAN -  EM FRENTE AO N.O 1074;PR;M.PR.YMG;São José dos Pinhais  Miringuava;;;
YNS;AVENIDA RENAULT - 1300;PR;M.PR.YNS;Nissan;;;
YPD;RODOVIA BR 277 -  KM 59;PR;M.PR.YPD;São José dos Pinhais - Pedágio;;;
YPV;RUA PARANAVAÍ -  83 SJP;PR;M.PR.YPV;São José dos Pinhais Paranavaí;;;
YRB;RUA RUI BARBOSA X RUA EURIDES DE SOUZA - SÃO JOSÉ DOS PINHAIS;PR;M.PR.YRB;São José dos Pinhais Rui Barbosa;;;
YSM;RODOVIA BR 277 -  KM 52;PR;M.PR.YSM;Serra do Mar;;;
Y03;RUA CRUZEIRO DO SUL - 182;PR;M.PR.Y03;Afonso Pena;;;
YRN;RUA ROSEIRA -  EM FRENTE AO N.O222;PR;M.PR.YRN;São José dos Pinhais  Renault;;;
ZMM;BR 277 Km 54 - SÃO JOSÉ DOS PINHAIS;PR;M.PR.ZMM;Morro do Meio ;;;
YRE;EM BUSCA - SÃO JOSÉ DOS PINHAIS;PR;M.PR.YRE;SÃO JOSÉ DOS PINHAIS - RENAULT FABRICA INDOOR;;;
YCR;Rua Londrina - Nº 115 (Lote 7 Quadra 1) - SÃO JOSÉ DOS PINHAIS;PR;M.PR.YCR;SÃO JOSÉ DOS PINHAIS - SÃO CRISTÓVÃO;;;
YPE;RUA JOSÉ ZEN NETO -  S/N;PR;M.PR.YPE;SÃO JOSÉ DOS PINHAIS - IPÊ;;;
YPF;RUA HELIO THOMAZ -  N° 451;PR;M.PR.YPF;SÃO JOSÉ DOS PINHAIS - PARQUE DA FONTE;864;NÃO;
YCZ;ALAMEDA ARPO -  S/N;PR;M.PR.YCZ;SÃO JOSÉ DOS PINHAIS - CRUZEIRO;865;NÃO;
YIN;RUA CLAUDIO PEREIRA DA CRUZ - 1268;PR;M.PR.YIN;SÃO JOSÉ DOS PINHAIS - INÁ;;;
Y86;R. MANOEL RIBEIRO DE CAMPOS - 641;PR;M.PR.Y86;SÃO JOSÉ DOS PINHAIS - SJP V01 - GVT;NÃO;;
S0B;AVENIDA ROCHA POMBO -  3110 - ÁGUAS BELAS;PR;M.PR.S0B;SÃO JOSÉ DOS PINHAIS - ROCHA POMBO;;;
S0A;RUA ANTÔNIO BIANCHETTI -  133 - INÁ;PR;M.PR.S0A;SÃO JOSÉ DOS PINHAIS - RUA ANTONIO BIANCHETTI;;;
S0E;MARGINAL DO CONTORNO LESTE -  NA ALTURA DO 5550 - RIO PEQUENO;PR;M.PR.S0E;SÃO JOSÉ DOS PINHAIS - ONOFRE HOLTHMAN;;;
S0C;TV. CONUNCIO CARRANO -  162 - CIDADE JARDIM;PR;M.PR.S0C;SÃO JOSÉ DOS PINHAIS - CONUNCIO CARRANO;;;
S0D;RUA MANDIRITUBA -  677-749 - AFONSO PENA;PR;M.PR.S0D;SÃO JOSÉ DOS PINHAIS - MANDIRITUBA;;;
YTA;RODOVIA BR-116 (CONTORNE LESTE) -  3600 - Arujá;PR;M.PR.YTA;SÃO JOSÉ DOS PINHAIS - ITÁLIA;;;
XPS;RODOVIA BR-376 -  KM 639;PR;M.PR.XPS;Posto Pampas;NÃO;;
XMT;RODOVIA BR 376 -  KM 677;PR;M.PR.XMT;Tijucas Matulão;;;
XPM;RODOVIA BR 376 -  KM 668;PR;M.PR.XPM;Posto Monte Carlo II;;;
XTJ;Rodovia que interliga a BR376 à Tijucas do Sul -  km 13+100;PR;M.PR.XTJ;Tijucas do Sul;;;
T0C;RUA MANOEL ALVES DE OLIVEIRA -  S/N - CENTRO;PR;M.PR.T0C;TIJUCAS DO SUL - CENTRO;;;
AOL;Rua Ernestino V. da Silveira -  s/nº;PR;M.PR.AOL;ANTONIO OLINTO;;;
ZOL; Povoado Água Amarela - S/N - ANTONIO OLINTO;PR;M.PR.ZOL;ANTONIO OLINTO REP TX;;;
BUU;RODOV. PR 170 -  KM 515 - Nº S/N;PR;M.PR.BUU;Bituruna;;;
B0A;RUA MAXIMILIANO GRESELE -  49 - CENTRO;PR;M.PR.B0A;BITURUNA - CENTRO;;;
CDQ;RUA MANOEL LOPES DE OLIVEIRA -  S/N;PR;M.PR.CDQ;Candói;;;
ZDQ;BR 277 -  KM 388;PR;M.PR.ZDQ;CANDÓI;;;
LAE;TRES PINHEIROS (ROTPAR) - BR-277 -  KM 401;PR;M.PR.LAE;LAGOA SECA OI;;;
KGL;RUA INOCÊNCIO DE ABREU -  S/N;PR;M.PR.KGL;Cantagalo;;;
C0J;JARDIM SOCIAL -  S/N - CANTAGALO;PR;M.PR.C0J;CANTAGALO - JARDIM SOCIAL;;;
CBQ;RUA OURO BRANCO -  LOTE 11 QUADRA 9;PR;M.PR.CBQ;Carambeí;;;
ZAN;Est. PR 340 -  km 225 - Nº S/N (Faz. Santo André);PR;M.PR.ZAN;FAZENDA SANTO ANDRÉ REP TX;X;;
C0K;AVENIDA DOS PIONEIROS - 2791;PR;M.PR.C0K;CARAMBEÍ - PIONEIROS;;;
CTI;ROD PR-151 -  KM 279;PR;M.PR.CTI;Castro Industrial;;;
CAT;RUA JONAS BORGES MARTINS -  QUADRA 81;PR;M.PR.CAT;Castro Centro;;;
ACC;PR340 COM PRAÇA DOS IMIGRANTES - CASTRO;PR;M.PR.ACC;Castro - Colônia Castrolanda;;;
AJA;RUA LUIZ CARDOSO ENTRE 234 E 248 - CASTRO;PR;M.PR.AJA;Castro Jd das Araucárias;;;
CAO;RUA LINO LOPES -  LOTE 2;PR;M.PR.CAO;CASTRO - CANTAGALO;NÃO;;
C0L;RUA ANA MULLER -  28 - JARDIM BELA VISTA;PR;M.PR.C0L;CASTRO - JARDIM BELA VISTA;;;
C0M;RUA RENATO MENARIN -  869 - JARDIM DOS BANCÁRIOS;PR;M.PR.C0M;CASTRO - MORADA DO SOL;;;
CVZ;RUA DR. HERÁCLIO MENDES DE CAMARGO -  Nº61;PR;M.PR.CVZ;CASTRO - VILA SANTA CRUZ;;;
CZC;AVENIDA VITÓRIA X RUA J - CRUZ MACHADO;PR;M.PR.CZC;Cruz Machado;;;
FEP;Av. Ivo Leão -  ao lado do n° 347   ;PR;M.PR.FEP;FERNANDES PINHEIRO;;;
GNC;R MIGUEL ELIAS CALIXTO - Nº 446 - GENERAL CARNEIRO;PR;M.PR.GNC;General Carneiro;;;
G0A;GENERAL CARNEIRO -  S/N - CENTRO;PR;M.PR.G0A;GENERAL CARNEIRO - FRANCISCO COSTA;;;
GOI;ESTRADA DO BARRO PRETO - GOIOXIM;PR;M.PR.GOI;GOIOXIM;;;
GUM;SERRA DA NATUREZA - GUAMIRANGA;PR;M.PR.GUM;Guamiranga;;;
GUA;Rua Roberto Carlos Mizel -  S/N;PR;M.PR.GUA;GUAMIRANGA - CENTRO;;;
GMO;Rua Raimundo Rossignoli -  135 – Morro Alto;PR;M.PR.GMO;GUARAPUAVA - MORRO ALTO;;;
GRP;RUA CORONEL SALDANHA -  S/N;PR;M.PR.GRP;GUARAPUAVA 01 - CENTRO;;;
RBT;RUA ANTONIO REBOUÇAS - 1724;PR;M.PR.RBT;GUARAPUAVA 06 - Batel;;;
RPE;AVENIDA MICHAEL MOOR - 957;PR;M.PR.RPE;GUARAPUAVA 05 - ENTRE RIOS;;;
RRO;AVENIDA SEBASTIÃO DE CAMARGO RIBAS -  S/N;PR;M.PR.RRO;GUARAPUAVA 03 - Rodoviaria;;;
RUC;R C Q13 -  MIRANTE DA SERRA - Nº S/N;PR;M.PR.RUC;Guarapuava Unicentro;;;
RVB;RUA CORONEL ANTÔNIO VILLACA X NAGIB NASSER - GUARAPUAVA;PR;M.PR.RVB;GUARAPUAVA 02 - Vila Bela;;;
GBT;R. VICENTE MACHADO - 1646;PR;M.PR.GBT;GUARAPUAVA OI (sala Vivo);;;
GRT;QUINHÃO 9A IMÓVEL PAIOL DE TELHAS - DISTRITO BOA VENTURA DO SÃO ROQUE - GUARAPUAVA;PR;M.PR.GRT;Guarapuava Rep;;;
RSC;RUA CENTENÁRIO -  AO LADO DO 163;PR;M.PR.RSC;GUARAPUAVA 04 - S. Cristóvão;;;
ZPA;Rua Povoado Campina Bonita -  KM 21 - Nº S/N (Sítio do Vô Leopoldo);PR;M.PR.ZPA;PALMEIRINHA REP TX;;;
RIL;Rodov. PR 466 - km 03 - Nº S/N - A - GUARAPUAVA;PR;M.PR.RIL;GUARAPUAVA - INDUSTRIAL;;;
RNA;RUA SEBASTIÃO LUSTOSA DE SIQUEIRA   - 244;PR;M.PR.RNA;GUARAPUAVA - SANTANA;;;
RPA;RUA JOSÉ VICENTIM - 591;PR;M.PR.RPA;GUARAPUAVA - PRIMAVERA;;;
RSZ;RUA PROF. AMÁLIO PINHEIRO -  LADO DO Nº 499;PR;M.PR.RSZ;GUARAPUAVA - SANTA CRUZ;;;
RCL;AVENIDA PROFESSORA LAURA PACHECO BASTOS - 1400;PR;M.PR.RCL;GUARAPUAVA - SHOPPING CIDADE DOS LAGOS;;;
RCS;RUA SEBASTIANA DE SOUZA SOARES -  S/N;PR;M.PR.RCS;GUARAPUAVA - CASCAVEL;;;
G0F;RODOVIA BR 277 KM364 -  S/N - INDUSTRIAL;PR;M.PR.G0F;GUARAPUAVA - RODOVIA BR-277;;;
G0E;RUA MÁRIO VIRMOND -  S/N;PR;M.PR.G0E;GUARAPUAVA - MARIO VIRMOND;;;
G0C;PEDRO TERESA GÓES -  445 - BOQUEIRÃO;PR;M.PR.G0C;GUARAPUAVA - BOQUEIRÃO;;;
G0D;RUA GOVERNADOR VALADARES -  S/N - ALTO CASCAVEL;PR;M.PR.G0D;GUARAPUAVA - ALTO CASCAVEL;;;
G0G;RUA DAS ABELHAS -  S/N - CENTRO;PR;M.PR.G0G;GUARAPUAVA - ABELHAS;;;
G0B;AVENIDA MANOEL RIBAS -  4775 - CONRADINHO;PR;M.PR.G0B;GUARAPUAVA - CONRADINHO;;;
G2Q;RUA PEDRO VIRTUOSO - 427;PR;M.PR.G2Q;GUARAPUAVA - BOQUEIRÃO 2;;;
IZS;RODOV. BR 376 -  KM 394;PR;M.PR.IZS;BR 376 POSTO SOLEDADE;;;
IZU;RUA LUIZ CARLOS DA COSTA - 135;PR;M.PR.IZU;Imbaú;;;
