WKT;UF;Área Tarifação;sigla;UF_Sigla;Sigla Prisma;Unidade de Negócio;Região;CM Ability;Nome do Site;Endereço;;Município;Latitude;Longitude;Fiscal responsável Vivo;Coordenador Vivo;Coordenador responsável Ability;Classificação Contratual;Modalidade;Tipo de Site;Site ao qual está associado;Detentor do site (conforme Science ou atualizações de campo);Detentor do gabinete (conforme PMTS);Sequencial Science;Monoerb;Site com GMG;Site com GPON da Rede Fixa;;;
POINT (-49.352583 -25.523306);PR;41.0;ABR;PR_ABR;M.PR.ABR;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;ARAUCÁRIA - BARIGUI;RUA PEDRO CHEMPECK;S/N;ARAUCÁRIA;-25.523.306;-49.352.583;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;TELXIUS => ATC;;1;45;176;NÃO;;;
POINT (-49.384444 -25.596944);PR;41.0;AIG;PR_AIG;M.PR.AIG;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;ARAUCÁRIA - JARDIM IGUAÇU;RUA PIAUÍ; S/N;ARAUCÁRIA;-25.596.944;-49.384.444;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;CLARO;;1;36;874;NÃO;;;
POINT (-49.365278 -25.62111);PR;41.0;HCB;PR_HCB;M.PR.HCB;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;ARAUCÁRIA - CAMPINA DA BARRA;RUA DOS NARCISOS; S/N;ARAUCÁRIA;-2.562.111;-49.365.278;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;CSS - CELL SITE SOLUTIONS;;1;83;482;NÃO;;;
POINT (-49.361581 -25.532239);PR;41.0;A0F;PR_A0F;M.PR.A0F;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;ARAUCÁRIA - LUÍS WACHOWICZ;RUA LUIZ WACHOWICZ; S/N - THOMAZ COELHO;ARAUCÁRIA;-25.532.239;-49.361.581;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;TBSA;;1;88;797;NÃO;;;
POINT (-49.40525 -25.593556);PR;41.0;A0D;PR_A0D;M.PR.A0D;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;ARAUCÁRIA - DR VITOR DO AMARAL;AVENIDA DOUTOR VICTOR DO AMARAL; 240 - CENTRO;ARAUCÁRIA;-25.593.556;-4.940.525;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;1;88;795;NÃO;;;
POINT (-49.45098 -25.62436);PR;41.0;AIB;PR_AIB;M.PR.AIB;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;ARAUCÁRIA - RIO ABAIXINHO;RODOVIA DO XISTO S/N N/A BR 476 - ARAUCÁRIA;ARAUCÁRIA;-2.562.436;-4.945.098;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;1;92;626;NÃO;;;;
POINT (-49.409683 -25.562439);PR;41.0;HI2;PR_HI2;M.PR.HI2;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;ARAUCÁRIA - JARDIM INDUSTRIAL;RUA OLADY MULLER AZEVEDO; S/N°; ESQUINA;ARAUCÁRIA;-25.562.439;-49.409.683;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;FLW INFRA;;1;91;746;NÃO;;
POINT (-49.626408 -25.581533);PR;41.0;BNV;PR_BNV;M.PR.BNV;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Balsa Nova;Rua Getúlio Vargas;12;BALSA NOVA;-25.581.533;-49.626.408;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;SP TORRES;;907;639;NÃO;;;;
POINT (-49.638594 -25.469119);PR;41.0;XMC;PR_XMC;M.PR.XMC;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;BALSA NOVA MORRO DO CRISTO (repetidor e BTS);ESTRADA MATO GROSSO; S/N LOTE 31;BALSA NOVA;-25.469.119;-49.638.594;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ I;Custo Fixo;ERB / Site de TX;;TELXIUS;;907;904;NÃO;X;;;
POINT (-49.622683 -25.4643);PR;41.0;X0A;PR_X0A;M.PR.X0A;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;BALSA NOVA - SÃO CAETANO;RUA ARLINDO QUILÓ;273;BALSA NOVA;-254.643;-49.622.683;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;SBA;;1;88;522;NÃO;;;
